route_name,route_long,headsign,saccos
44G,Odeon-Pangani-Roysambu-Githurai-KU,Odeon,FOURTY FOUR SACCO | GITHURAI 45 SACCO | SUPER HIGHWAY 45 SACCO
44Z,Odeon-Pangani-Roysambu-Zimmerman-KU,Odeon,FOURTY FOUR SACCO | ZURI GENESIS COMPANY LTD
44K,Roysambu-Githurai-KU,Roysambu,FOURTY FOUR SACCO | GITHURAI 45 SACCO | SUPER HIGHWAY 45 SACCO
45K,Odeon-Pangani-Roysabu-Githurai-KU,Odeon,GITHURAI 45 SACCO | SUPER HIGHWAY 45 SACCO
45G,Munyu Road-Pangani-Roysabu-Githurai,Tusker,GITHURAI 45 SACCO | SUPER HIGHWAY 45 SACCO
45P,Githurai-Proggie,Githurai,GITHURAI 45 SACCO | SUPER HIGHWAY 45 SACCO
49,Odeon-Pangani-Roysambu-Kasarani-Sunton,Odeon,MWIKI PSV SACCO
53,Roasters-Thome-Maruirui,Roasters,LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAWASUKU SACCO
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Kaka,KAKA TRAVELLERS SACCO LTD | KIAMBU MARAFIKI SACCO LTD
120,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Githunguri,Githunguri,KAKA TRAVELLERS SACCO LTD | KIAMBU MARAFIKI SACCO LTD
121,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Ndumberi,Kaka,KAKA TRAVELLERS SACCO LTD | KIAMBU MARAFIKI SACCO LTD
145,Munyu Road-Pangani-Roysambu-Githurai-KU-Ruiru,Tusker,GITHURAI 45 SACCO | LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAWASUKU SACCO | SUPER HIGHWAY 45 SACCO
17B,Bus Station-Pangani-Roysambu-Kasarani-Mwiki,Bus Station,MWIKI PSV SACCO
17B_2,Roysambu-Sunton-Kasarani-Mwiki,Roysambu,MWIKI PSV SACCO
237,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,Tusker,GITHURAI 45 SACCO | LOPHA MULTIPURPOSE CO-OP SOCIETY | NAGIRU 145 SACCO | NAKATHI TRAVELLERS SACCO LTD | NAWASUKU SACCO | SUPER HIGHWAY 45 SACCO
25A,Odeon-Pangani-Alssops-Baba Dogo-Lucky Summer,Odeon,BABA DOGO 25 TRAVELLERS SACCO | LUCKY BABA DOGO TRAVELLERS SACCO
100A,Ngara-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu Hospital,Ngara,FIG KOMBA | KAKA TRAVELLERS SACCO LTD | KIAMBU MARAFIKI SACCO LTD
2030,Allsops-Rounda,Allsops,ALSOPS TRAVELLERS SERVICE LTD
29/30,Ngara-Pangani-Alssops-Drive in-Mathare,Ngara,FIG KOMBA | MANMO SACCO
3N,Gikomba-Kariokor-Ngara,Ngara,FIG KOMBA
7,Town-Kariokor DC-Gikomba,Town,UNMATCHED
14,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,OTC,DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | HURUMA 46 SACCO LTD | KARIOBANGI MATATU SACCO LTD | LOPHA MULTIPURPOSE CO-OP SOCIETY
28,Gikomba-Eastleigh-Huruma-Kariobangi,Gikomba,DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | HURUMA 46 SACCO LTD | KARIOBANGI MATATU SACCO LTD
32D,OTC-Kariokor-Mlango-Rounda-Dandora,OTC,DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO
41,Gikomba-Rounda-Dandora,Gikomba,DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO
46H,Ronald Ngala-Juja Road-Eastleigh-Huruma,OTC,DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | HURUMA 46 SACCO LTD | LOPHA MULTIPURPOSE CO-OP SOCIETY
11C,Odeon-Pangani Flyover-Pangani Girls High School-Mlango-Pangani Terminus,Odeon,UNMATCHED
17Aky,EastLeigh-Rounda-Umoja 2-Kayole,Eastleigh,DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD | UMOINNER SACCO LTD
18C,Eastleigh-Rounda-Dandora-Kayole,Kayole,DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
