route_name,route_long,headsign,start_lat,start_lon,end_lat,end_lon,dist_km,fare_KSh,fare_source,saccos
41,Gikomba-Rounda-Dandora,Gikomba,-1.245132,36.908428,-1.284065,36.840624,8.69,60,calibrated (x0.906),DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO
46H,Ronald Ngala-Juja Road-Eastleigh-Huruma,OTC,-1.261995,36.874022,-1.285927,36.827461,5.82,50,survey (2026 actual),DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | HURUMA 46 SACCO LTD | LOPHA MULTIPURPOSE CO-OP SOCIETY
11C,Odeon-Pangani Flyover-Pangani Girls High School-Mlango-Pangani Terminus,Odeon,-1.265061,36.838593,-1.28253,36.82511,2.45,40,calibrated (x0.906),UNMATCHED
17Aky,EastLeigh-Rounda-Umoja 2-Kayole,Eastleigh,-1.262215,36.919577,-1.272097,36.850505,7.76,60,calibrated (x0.906),DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD | UMOINNER SACCO LTD
18C,Eastleigh-Rounda-Dandora-Kayole,Kayole,-1.272263,36.850478,-1.269034,36.913609,7.03,60,calibrated (x0.906),DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
46B,Ronald Ngala-Juja Road-Eastleigh-Rounda,Tusker,-1.262366,36.878759,-1.285475,36.828275,6.17,50,survey (2026 actual),DIX-HULT MATATU OWNER SACCO | EASTLEIGH COMMUTER SERVICES LTD | HURUMA 46 SACCO LTD | LOPHA MULTIPURPOSE CO-OP SOCIETY
16/62,Bus Station-Rounda-Dandora-Kayole,Bus station,-1.268969,36.913596,-1.28641,36.829723,9.52,60,calibrated (x0.906),DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO | FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD
3738,Rounda-Saika-Ruai,Rounder,-1.269779,36.994658,-1.262392,36.878507,12.94,60,calibrated (x0.906),UNMATCHED
6E,Church Army-Biafra-Joster,Church Army,-1.282809,36.851095,-1.294568,36.853144,1.33,40,calibrated (x0.906),UNMATCHED
10,Muthurwa-Makadara-Maringo,Muthurwa,-1.290621,36.873753,-1.287997,36.83387,4.44,40,calibrated (x0.906),HIMOSA TRAVELLERS SACCO
20,Mama Lucy Hospital-Kayole-Njiru-Mwiki,Mama Lucy,-1.235916,36.934875,-1.275035,36.898525,5.94,60,calibrated (x0.906),FORWARD TRAVELLERS SACCO LTD | KANI TRANSPORT SACCO LTD | MWIKI PSV SACCO
23KS,Gill House-Jogoo Road-Shauri Moyo-Jerusalem-Buruburu-Kariobangi South,Gill House,-1.262564,36.887042,-1.286361,36.826907,7.19,50,survey (2026 actual),BURUBURU 58 TRAVELLERS SACCO LTD | CBET SACCO | DIX-HULT MATATU OWNER SACCO | KARIOBANGI MATATU SACCO LTD
26,Makadara-Harambee-Outering-Kariobangi,Makadara,-1.257543,36.87921,-1.296124,36.862172,4.69,60,calibrated (x0.906),DIX-HULT MATATU OWNER SACCO | KARIOBANGI MATATU SACCO LTD
26S,Aquinas-Jerusalem-Outering-Kariobangi,Makadara,-1.257602,36.879151,-1.295105,36.867076,4.38,40,calibrated (x0.906),DIX-HULT MATATU OWNER SACCO | KARIOBANGI MATATU SACCO LTD
33DP,Muthurwa-Donholm-Pipeline,Muthurwa,-1.323552,36.899557,-1.288126,36.833907,8.29,50,survey (2026 actual),HIMOSA TRAVELLERS SACCO
33DC,Donholm-Rounda-Carbanas,Donholm,-1.335804,36.892294,-1.298881,36.886774,4.15,60,calibrated (x0.906),UNMATCHED
33GTB,Accra Road-Jogoo Road-Donholm-Fedha-Gate B,Commercial,-1.308205,36.903221,-1.284131,36.826233,8.97,100,survey (2026 actual),CBET SACCO
33C,Commercial-Jogoo Road-Pipeline-Cabanas,Commercial,-1.335847,36.892213,-1.284145,36.826252,9.32,60,calibrated (x0.906),CBET SACCO
34J,Ambassadeur-Donholm-Rounda-JKIA,Ambassadeur,-1.329614,36.924829,-1.285685,36.824793,12.15,150,survey (2026 actual),EMBASSAVA SACCO LTD
36,City Stadium-Buruburu-Kwa Mbao-Dandora,City Stadium,-1.24506,36.908473,-1.292244,36.843018,8.97,100,calibrated (x0.906),BURUBURU 58 TRAVELLERS SACCO LTD | CBET SACCO | DANDORA USAFIRI TRAVELLERS SACCO | DIX-HULT MATATU OWNER SACCO
