route_name,route_long,headsign,direction,start_lat,start_lon,end_lat,end_lon,dist_km,fare_KSh,fare_source
237,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,Tusker,0,-1.035397,37.076433,-1.284149,36.827805,39.1,150,model (calibrated)
237,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,Thika,1,-1.284149,36.827805,-1.035408,37.076443,39.1,150,model (calibrated)
25A,Odeon-Pangani-Alssops-Baba Dogo-Lucky Summer,Odeon,0,-1.239763,36.897511,-1.282686,36.824541,9.41,50,survey (1 resp)
25A,Odeon-Pangani-Alssops-Baba Dogo-Lucky Summer,Lucky Summer,1,-1.28267,36.824563,-1.239776,36.897508,9.41,50,survey (1 resp)
100A,Ngara-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu Hospital,Ngara,0,-1.17037,36.830528,-1.278357,36.830243,12.01,150,model (calibrated)
100A,Ngara-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu Hospital,Kiambu Hospital,1,-1.278362,36.830302,-1.168746,36.826043,12.2,150,model (calibrated)
2030,Allsops-Rounda,Allsops,0,-1.26228,36.878684,-1.245232,36.867945,2.24,50,survey (1 resp)
2030,Allsops-Rounda,Rounda,1,-1.245253,36.867864,-1.262108,36.878797,2.23,50,survey (1 resp)
29/30,Ngara-Pangani-Alssops-Drive in-Mathare,Ngara,0,-1.252152,36.86729,-1.27413,36.823887,5.41,80,kenyan-post.com
29/30,Ngara-Pangani-Alssops-Drive in-Mathare,Mathare,1,-1.274124,36.823951,-1.252179,36.867306,5.4,80,kenyan-post.com
3N,Gikomba-Kariokor-Ngara,Ngara,0,-1.284038,36.840554,-1.275761,36.82474,1.98,50,survey (2 resp)
3N,Gikomba-Kariokor-Ngara,Gikomba,1,-1.275806,36.82473,-1.283973,36.840543,1.98,50,survey (2 resp)
7,Town-Kariokor DC-Gikomba,Town,0,-1.284043,36.840559,-1.286312,36.829444,1.26,50,model (calibrated)
7,Town-Kariokor DC-Gikomba,Gikomba,1,-1.286318,36.829412,-1.284043,36.840559,1.26,50,model (calibrated)
14,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,OTC,0,-1.255301,36.878577,-1.284061,36.831181,6.16,150,model (calibrated)
14,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,Kariobangi,1,-1.284038,36.831161,-1.255285,36.878577,6.16,150,model (calibrated)
28,Gikomba-Eastleigh-Huruma-Kariobangi,Gikomba,0,-1.2554,36.878468,-1.284126,36.840649,5.28,80,kenyan-post.com
28,Gikomba-Eastleigh-Huruma-Kariobangi,Kariobangi,1,-1.284126,36.840649,-1.255571,36.878086,5.23,80,kenyan-post.com
32D,OTC-Kariokor-Mlango-Rounda-Dandora,OTC,0,-1.245049,36.90843,-1.284837,36.830962,9.68,80,model (calibrated)
32D,OTC-Kariokor-Mlango-Rounda-Dandora,Dandora,1,-1.284746,36.831075,-1.24514,36.908408,9.66,80,model (calibrated)
41,Gikomba-Rounda-Dandora,Gikomba,0,-1.245132,36.908428,-1.284065,36.840624,8.69,80,model (calibrated)
41,Gikomba-Rounda-Dandora,Dandora,1,-1.284075,36.840591,-1.244985,36.908446,8.71,80,model (calibrated)
46H,Ronald Ngala-Juja Road-Eastleigh-Huruma,OTC,0,-1.261995,36.874022,-1.285927,36.827461,5.82,50,survey (1 resp)
46H,Ronald Ngala-Juja Road-Eastleigh-Huruma,Huruma,1,-1.28591,36.82747,-1.262033,36.874012,5.82,50,survey (1 resp)
11C,Odeon-Pangani Flyover-Pangani Girls High School-Mlango-Pangani Terminus,Odeon,0,-1.265061,36.838593,-1.28253,36.82511,2.45,40,nairobilifestyle.com
11C,Odeon-Pangani Flyover-Pangani Girls High School-Mlango-Pangani Terminus,Pangani Terminus,1,-1.282459,36.825275,-1.265059,36.838526,2.43,40,nairobilifestyle.com
17Aky,EastLeigh-Rounda-Umoja 2-Kayole,Eastleigh,0,-1.262215,36.919577,-1.272097,36.850505,7.76,80,model (calibrated)
17Aky,EastLeigh-Rounda-Umoja 2-Kayole,Kayole,1,-1.272258,36.850483,-1.26221,36.919561,7.76,80,model (calibrated)
18C,Eastleigh-Rounda-Dandora-Kayole,Kayole,0,-1.272263,36.850478,-1.269034,36.913609,7.03,80,model (calibrated)
18C,Eastleigh-Rounda-Dandora-Kayole,Eastleigh,1,-1.269016,36.913631,-1.272182,36.850634,7.01,80,model (calibrated)
46B,Ronald Ngala-Juja Road-Eastleigh-Rounda,Tusker,0,-1.262366,36.878759,-1.285475,36.828275,6.17,50,survey (1 resp)
46B,Ronald Ngala-Juja Road-Eastleigh-Rounda,Rounda,1,-1.285513,36.82828,-1.262366,36.878765,6.17,50,survey (1 resp)
16/62,Bus Station-Rounda-Dandora-Kayole,Bus station,0,-1.268969,36.913596,-1.28641,36.829723,9.52,80,model (calibrated)
16/62,Bus Station-Rounda-Dandora-Kayole,Kayole,1,-1.286404,36.829712,-1.269001,36.913623,9.53,80,model (calibrated)
3738,Rounda-Saika-Ruai,Rounder,0,-1.269779,36.994658,-1.262392,36.878507,12.94,80,model (calibrated)
3738,Rounda-Saika-Ruai,Ruai,1,-1.262076,36.879344,-1.271228,36.996878,13.11,80,model (calibrated)
6E,Church Army-Biafra-Joster,Church Army,0,-1.282809,36.851095,-1.294568,36.853144,1.33,40,model (calibrated)
6E,Church Army-Biafra-Joster,Joster,1,-1.294708,36.853209,-1.282825,36.851047,1.34,40,model (calibrated)
10,Muthurwa-Makadara-Maringo,Muthurwa,0,-1.290621,36.873753,-1.287997,36.83387,4.44,50,model (calibrated)
10,Muthurwa-Makadara-Maringo,Maringo,1,-1.288002,36.833875,-1.290572,36.87377,4.44,50,model (calibrated)
20,Mama Lucy Hospital-Kayole-Njiru-Mwiki,Mama Lucy,0,-1.235916,36.934875,-1.275035,36.898525,5.94,80,model (calibrated)
20,Mama Lucy Hospital-Kayole-Njiru-Mwiki,Mwiki,1,-1.275035,36.898525,-1.235916,36.934875,5.94,80,model (calibrated)
23KS,Gill House-Jogoo Road-Shauri Moyo-Jerusalem-Buruburu-Kariobangi South,Gill House,0,-1.262564,36.887042,-1.286361,36.826907,7.19,50,survey (1 resp)
23KS,Gill House-Jogoo Road-Shauri Moyo-Jerusalem-Buruburu-Kariobangi South,Kariobangi South,1,-1.28665,36.827046,-1.262575,36.88702,7.18,50,survey (1 resp)
26,Makadara-Harambee-Outering-Kariobangi,Makadara,0,-1.257543,36.87921,-1.296124,36.862172,4.69,80,kenyan-post.com
26,Makadara-Harambee-Outering-Kariobangi,Kariobangi,1,-1.296446,36.862623,-1.257591,36.878668,4.67,80,kenyan-post.com
26S,Aquinas-Jerusalem-Outering-Kariobangi,Makadara,0,-1.257602,36.879151,-1.295105,36.867076,4.38,50,survey (1 resp)
26S,Aquinas-Jerusalem-Outering-Kariobangi,Kariobangi,1,-1.292932,36.862666,-1.256658,36.878663,4.41,50,survey (1 resp)
33DP,Muthurwa-Donholm-Pipeline,Muthurwa,0,-1.323552,36.899557,-1.288126,36.833907,8.29,80,model (calibrated)
33DP,Muthurwa-Donholm-Pipeline,Pipeline,1,-1.288018,36.833838,-1.323617,36.899616,8.31,80,model (calibrated)
33DC,Donholm-Rounda-Carbanas,Donholm,0,-1.335804,36.892294,-1.298881,36.886774,4.15,80,model (calibrated)
33DC,Donholm-Rounda-Carbanas,Carbanas,1,-1.298441,36.887187,-1.335869,36.893383,4.22,80,model (calibrated)
33GTB,Accra Road-Jogoo Road-Donholm-Fedha-Gate B,Commercial,0,-1.308205,36.903221,-1.284131,36.826233,8.97,100,survey (1 resp)
33GTB,Accra Road-Jogoo Road-Donholm-Fedha-Gate B,Gate B,1,-1.283936,36.826429,-1.308214,36.903286,8.96,100,survey (1 resp)
33C,Commercial-Jogoo Road-Pipeline-Cabanas,Commercial,0,-1.335847,36.892213,-1.284145,36.826252,9.32,80,model (calibrated)
33C,Commercial-Jogoo Road-Pipeline-Cabanas,Cabanas,1,-1.283943,36.826431,-1.335284,36.892557,9.31,80,model (calibrated)
34J,Ambassadeur-Donholm-Rounda-JKIA,Ambassadeur,0,-1.329614,36.924829,-1.285685,36.824793,12.15,150,survey (1 resp)
34J,Ambassadeur-Donholm-Rounda-JKIA,JKIA,1,-1.285733,36.824723,-1.329625,36.924802,12.15,150,survey (1 resp)
36,City Stadium-Buruburu-Kwa Mbao-Dandora,City Stadium,0,-1.24506,36.908473,-1.292244,36.843018,8.97,100,survey (1 resp)
36,City Stadium-Buruburu-Kwa Mbao-Dandora,Dandora,1,-1.292244,36.843018,-1.24506,36.908457,8.97,100,survey (1 resp)
58,Ambassadeur-Jogoo Road-Buruburu,Ambassadeur,0,-1.277606,36.877316,-1.284403,36.82607,5.75,80,model (calibrated)
58,Ambassadeur-Jogoo Road-Buruburu,Buruburu,1,-1.284676,36.826164,-1.277579,36.877322,5.74,80,model (calibrated)
17A,Rounda-Umoja 2-Kayole,Rounda,0,-1.262956,36.879323,-1.262328,36.919293,4.44,80,model (calibrated)
17A,Rounda-Umoja 2-Kayole,Kayole,1,-1.261953,36.919711,-1.262999,36.878958,4.53,80,model (calibrated)
19Cdc,Ambassadeur-Jogoo Road-Donholm-Caltex-Komarocks,Town,0,-1.266534,36.915972,-1.28591,36.827652,10.05,100,survey (2 resp)
19Cdc,Ambassadeur-Jogoo Road-Donholm-Caltex-Komarocks,Komarocks,1,-1.285904,36.827625,-1.266512,36.916021,10.06,100,survey (2 resp)
19C2,Donholm-Caltex-Komarocks,Donholm,0,-1.266668,36.915983,-1.296639,36.885883,4.72,80,kenyan-post.com
19C2,Donholm-Caltex-Komarocks,Komarocks,1,-1.296628,36.885953,-1.266512,36.915951,4.73,80,kenyan-post.com
34B,Ambassadeur-Donholm-Jacaranda,Ambassadeur,0,-1.287643,36.904702,-1.285669,36.82489,8.88,80,model (calibrated)
34B,Ambassadeur-Donholm-Jacaranda,Jacaranda,1,-1.286187,36.826923,-1.28768,36.904739,8.65,80,model (calibrated)
69,Muthurwa-Hillocks-GM,Muthurwa,0,-1.328391,36.870262,-1.287981,36.833875,6.05,80,model (calibrated)
69,Muthurwa-Hillocks-GM,General Motors,1,-1.288013,36.833875,-1.328396,36.870267,6.04,80,model (calibrated)
405,City Stadium-Nyayo Stadium,City Stadium,0,-1.304176,36.827782,-1.293365,36.840767,1.88,40,model (calibrated)
405,City Stadium-Nyayo Stadium,Nyayo Stadium,1,-1.293448,36.840927,-1.304181,36.82777,1.89,40,model (calibrated)
1960,OTC-Donholm-Kayole,Kamukunji,0,-1.262215,36.919577,-1.284376,36.832786,9.96,80,model (calibrated)
1960,OTC-Donholm-Kayole,Kayole,1,-1.284365,36.832797,-1.262221,36.919572,9.96,80,model (calibrated)
1961K,Landhies Road-Jogoo Road-Jacaranda-Kayole,OTC,0,-1.262103,36.919443,-1.284381,36.83284,9.94,80,model (calibrated)
1961K,Landhies Road-Jogoo Road-Jacaranda-Kayole,Kayole,1,-1.284365,36.832829,-1.262038,36.919529,9.95,80,model (calibrated)
1961Kd,Caltex Donholm-Jacaranda-Kayole,Donholm,0,-1.269892,36.920065,-1.300968,36.888217,4.95,80,model (calibrated)
1961Kd,Caltex Donholm-Jacaranda-Kayole,Kayole,1,-1.300839,36.888077,-1.269768,36.920006,4.95,80,model (calibrated)
35/60,Town-Donholm-Umoja,Tusker,0,-1.283775,36.887096,-1.285488,36.82835,6.53,80,model (calibrated)
35/60,Town-Donholm-Umoja,Umoja,1,-1.285518,36.828275,-1.2837,36.887133,6.55,80,model (calibrated)
3560_2,Donholm-Mutindwa-Umoja 2,Donholm,0,-1.279247,36.898162,-1.296945,36.886886,2.33,80,model (calibrated)
3560_2,Donholm-Mutindwa-Umoja 2,Umoja 2,1,-1.296537,36.886066,-1.279263,36.898146,2.34,80,model (calibrated)
39SK,Ronald Ngala-Jogoo Road-Kangundo Road-Saika-Kayole Junction,Tusker,0,-1.259603,36.912491,-1.285526,36.828274,9.8,80,model (calibrated)
39SK,Ronald Ngala-Jogoo Road-Kangundo Road-Saika-Kayole Junction,Kayole Junction,1,-1.285508,36.82828,-1.259512,36.912496,9.8,80,model (calibrated)
38/39,Town-Donholm-Njiru-Ruai,Muthurwa,0,-1.271206,36.996873,-1.288115,36.833897,18.21,80,model (calibrated)
38/39,Town-Donholm-Njiru-Ruai,Ruai,1,-1.288115,36.833902,-1.271233,36.996868,18.21,80,model (calibrated)
70/71,Muthurwa-Likoni-Sinai-Lunga Lunga,Muthurwa,0,-1.300212,36.885749,-1.287981,36.833875,5.92,50,model (calibrated)
70/71,Muthurwa-Likoni-Sinai-Lunga Lunga,Lunga Lunga,1,-1.287997,36.833886,-1.300136,36.885878,5.94,50,model (calibrated)
11,Bus Station-Industrial Area-South B-Hazina,Bus Station,0,-1.315629,36.848472,-1.287203,36.828908,3.84,50,model (calibrated)
11,Bus Station-Industrial Area-South B-Hazina,Hazina,1,-1.287219,36.828897,-1.316037,36.848375,3.87,50,model (calibrated)
11_2,Town-Industrial Area-Mater-Railways Training Institute-Balozi-Hazina,Bus Station,0,-1.320806,36.849282,-1.287219,36.828913,4.37,50,model (calibrated)
11_2,Town-Industrial Area-Mater-Railways Training Institute-Balozi-Hazina,Hazina,1,-1.287219,36.828908,-1.320865,36.849427,4.38,50,model (calibrated)
15,Bus Station-Nyayo Stadium-Wilson-Langata,Bus Station,0,-1.321809,36.774486,-1.287176,36.829026,7.18,50,survey (1 resp)
15,Bus Station-Nyayo Stadium-Wilson-Langata,Langata,1,-1.287079,36.829396,-1.321824,36.774303,7.24,50,survey (1 resp)
16,Bus Station-Nyayo Stadium-T Mall-Highrise,Bus Station,0,-1.31454,36.807954,-1.287155,36.828929,3.84,50,model (calibrated)
16,Bus Station-Nyayo Stadium-T Mall-Highrise,Highrise,1,-1.287214,36.828827,-1.314669,36.808131,3.82,50,model (calibrated)
24,Ambassadeur-Nyayo Stadium-Bomas-Hardy-Karen,Karen,0,-1.286108,36.826038,-1.323187,36.708047,13.75,100,survey (2 resp)
24,Ambassadeur-Nyayo Stadium-Bomas-Hardy-Karen,Ambassadeur,1,-1.322023,36.707586,-1.286082,36.825952,13.75,100,survey (2 resp)
24BK,Bomas-Karen Hospital-Karen,Bomas,0,-1.322064,36.707893,-1.342349,36.764325,6.67,50,survey (1 resp)
24BK,Bomas-Karen Hospital-Karen,Karen,1,-1.342537,36.764325,-1.322064,36.707893,6.67,50,survey (1 resp)
33IMR,Commercial-Belleview-Imara Daima,Commercial,0,-1.325178,36.880819,-1.284178,36.826206,7.59,80,model (calibrated)
33IMR,Commercial-Belleview-Imara Daima,Imara Daima,1,-1.284285,36.826258,-1.325119,36.880819,7.58,80,model (calibrated)
33TP,Commercial-Mombasa Road-Taj Mall-Pipeline,Commercial,0,-1.323643,36.899632,-1.284145,36.826285,9.26,50,survey (1 resp)
33TP,Commercial-Mombasa Road-Taj Mall-Pipeline,Pipeline,1,-1.283943,36.826431,-1.316535,36.895174,8.46,50,survey (1 resp)
33J,Cabanas-Utawala-Githunguri,Cabanas,0,-1.286511,36.982464,-1.335853,36.893211,11.34,150,model (calibrated)
33J,Cabanas-Utawala-Githunguri,Githunguri,1,-1.33581,36.893173,-1.286543,36.98247,11.34,150,model (calibrated)
33H,Cabanas-Utawala-Bypass,Cabanas,0,-1.264171,36.983013,-1.335665,36.893136,12.77,80,model (calibrated)
33H,Cabanas-Utawala-Bypass,Bypass,1,-1.33581,36.892294,-1.264049,36.982613,12.83,80,model (calibrated)
33UTW,Utawala-Ambassadeur,Ambassadeur,0,-1.284102,36.988869,-1.285411,36.825802,18.13,80,model (calibrated)
33UTW,Utawala-Ambassadeur,Utawala,1,-1.285315,36.825598,-1.284049,36.988891,18.15,80,model (calibrated)
33MKR,Bus Station-Mombasa Road-Imara Daima-St.Bakhita,Commercial,0,-1.32472,36.888931,-1.287235,36.828908,7.87,80,model (calibrated)
33MKR,Bus Station-Mombasa Road-Imara Daima-St.Bakhita,St. Bakhita,1,-1.287235,36.828886,-1.324711,36.889,7.88,80,model (calibrated)
110,Railways-Mombasa Road-Mlolongo-Kitengela,Railways Uchumi,0,-1.477141,36.957879,-1.288798,36.828712,25.39,150,survey (1 resp)
110,Railways-Mombasa Road-Mlolongo-Kitengela,Kitengela,1,-1.289201,36.828304,-1.477248,36.958201,25.41,150,survey (1 resp)
110AK,Athi River-Makadara-Kitengela,Devki Athiriver,0,-1.477189,36.958031,-1.444069,36.989384,5.07,150,model (calibrated)
110AK,Athi River-Makadara-Kitengela,Kitengela,1,-1.444176,36.989465,-1.477189,36.958031,5.07,150,model (calibrated)
110ATH,Railways-Mombasa Road-Devki-Makadara,Railways Uchumi,0,-1.457303,36.974557,-1.289188,36.828269,24.78,150,model (calibrated)
110ATH,Railways-Mombasa Road-Devki-Makadara,Makadara,1,-1.289091,36.828318,-1.457499,36.974342,24.78,150,model (calibrated)
125,Railways-Langata Road-Bomas-Ongata Rongai,Railways,0,-1.396543,36.74966,-1.291033,36.828285,14.63,100,survey (2 resp)
125,Railways-Langata Road-Bomas-Ongata Rongai,Ongata Rongai,1,-1.291038,36.828291,-1.396546,36.749788,14.62,100,survey (2 resp)
126,Railways-Langata Road-Ongata Rongai-Kiserian,Railways,0,-1.429671,36.687119,-1.291054,36.828296,22.0,200,model (calibrated)
126,Railways-Langata Road-Ongata Rongai-Kiserian,Kiserian,1,-1.29106,36.828318,-1.429083,36.686887,21.97,200,model (calibrated)
126RK,Ongata Rongai-Nkoroi-Kiserian,Ongata Rongai,0,-1.42951,36.685807,-1.397012,36.759878,8.99,200,model (calibrated)
126RK,Ongata Rongai-Nkoroi-Kiserian,Kiserian,1,-1.397034,36.754192,-1.429553,36.685774,8.42,200,model (calibrated)
12C,Bus Station-Red Cross-Mugoya,Bus Station,0,-1.321511,36.828972,-1.28719,36.828884,3.82,50,model (calibrated)
12C,Bus Station-Red Cross-Mugoya,Mugoya,1,-1.28719,36.828884,-1.322066,36.828817,3.88,50,model (calibrated)
12D,Bus Station-Red Cross-KPA-College Of Insurance-Amboseli,Bus Station,0,-1.326948,36.842367,-1.287294,36.829074,4.65,50,model (calibrated)
12D,Bus Station-Red Cross-KPA-College Of Insurance-Amboseli,Amboseli,1,-1.287176,36.828913,-1.326969,36.842383,4.67,50,model (calibrated)
145B,Bypass-Ruiru Ndani-Ruiru,Bypass,0,-1.147529,36.959231,-1.264138,36.983035,13.23,150,model (calibrated)
145B,Bypass-Ruiru Ndani-Ruiru,Ruiru,1,-1.264082,36.983194,-1.14754,36.959236,13.23,150,model (calibrated)
14A,Bus Station-Nairobi West-Madaraka-Strathmore,Bus Station,0,-1.308644,36.812444,-1.287179,36.828907,3.01,50,model (calibrated)
14A,Bus Station-Nairobi West-Madaraka-Strathmore,Strathmore,1,-1.287321,36.829026,-1.308693,36.812348,3.01,50,model (calibrated)
