Timestamp,Route,Fare Paid (KSh),Direction
2026-04-29T13:10:50.101Z,CBD - Karen,100,CBD → Karen
2026-04-29T13:11:14.472Z,CBD - Pipeline (Mombasa Rd),100,CBD → Pipeline
2026-04-29T13:19:48.039Z,CBD - Komarocks,100,CBD → Komarocks
2026-04-29T13:59:31.563Z,CBD - Kayole Junction,100,CBD → Kayole Junction
2026-04-29T13:59:40.659Z,CBD - Kayole Junction,50,CBD → Kayole Junction
2026-04-29T15:34:27.847Z,Ongata Rongai - Kiserian,50,Ongata Rongai → Kiserian
2026-04-29T15:34:27.847Z,Kiserian - Ongata Rongai,50,Kiserian → Ongata Rongai
2026-04-29T15:57:35.828Z,CBD - Wangige (Kabete),50,CBD → Wangige
2026-04-29T16:14:03.449Z,CBD - Buruburu,100,CBD → Buruburu
2026-04-29T16:14:03.455Z,Buruburu - CBD,100,Buruburu → CBD
2026-04-29T16:14:40.168Z,CBD - Kiambu,50,CBD → Kiambu
2026-04-29T16:14:40.168Z,Kiambu - CBD,100,Kiambu → CBD
2026-04-29T16:49:57.122Z,CBD - Donholm,100,CBD → Donholm
2026-04-29T16:49:57.134Z,Donholm - CBD,100,Donholm → CBD
2026-04-29T16:50:54.107Z,CBD - Syokimau,100,CBD → Syokimau
2026-04-29T16:50:54.114Z,Syokimau - CBD,100,Syokimau → CBD
2026-04-29T17:11:27.172Z,CBD - Karen,100,CBD → Karen
2026-04-29T17:11:27.177Z,Karen - CBD,100,Karen → CBD
2026-04-29T17:11:47.169Z,Utawala - CBD,100,Utawala → Ambassadeur
2026-04-29T17:11:47.169Z,Ambassadeur - Utawala,100,Ambassadeur → Utawala
2026-04-29T17:38:55.840Z,CBD - Thika,150,CBD → Thika
2026-04-29T17:42:21.715Z,CBD - Mwiki,100,CBD → Mwiki
