stop_id,stop_name,stop_lat,stop_lon,trip_count,routes
0101NGG,Nyari Gate 3,-1.225371,36.785596,1,108
0101NJK,Kwa Njoki Kamili,-1.184899,36.764492,2,106 116
0101NRE,Nish Raaj Estate,-1.25862,36.81484,1,11A
0101NRP,Roundabout Eastern Bypass,-1.155165,36.926129,1,107D
0101NTO,Kwa Kanisa ACK/National Oil,-1.193291,36.777536,2,106 116
0101NYG,Nyari Gate 2,-1.225544,36.791386,1,108
0101NYP,Nyari Police,-1.225594,36.787764,1,108
0101NYR,Nyari/Barrier 1,-1.226487,36.795583,1,108
0101OOO,Githogoro,-1.216517,36.825002,1,107D
0101OTA,National Oil,-1.193821,36.749573,1,107
0101PMR,Pm Flats/ Runda View,-1.20429,36.77439,2,107 114R
0101PMV,Pm Flats/ Runda View 2,-1.20369,36.77218,2,107 114R
0101POW,Power,-1.217477,36.778214,1,108
0101RCC,Ruaka Catholic Church,-1.2062,36.78055,2,107 114R
0101RCK,Ruaka ACK Church,-1.20676,36.78382,2,107 114R
0101RDC,Ruaka DC,-1.2065,36.78171,2,107 114R
0101RED,Red Hill/Posta,-1.17081,36.708554,1,114R
0101REE,Runda Estate Entrance,-1.2186,36.80168,5,106 107 114R 116 11B
0101REN,Redeemed Ndenderu,-1.19238,36.74504,2,107 114R
0101RIE,Limuru Diaries,-1.125841,36.642507,1,114R
0101RIH,Commissioner of Higher Education,-1.227862,36.798065,1,108
0101RJI,Ruiru Road Junction,-1.152135,36.91984,1,107D
0101RKJ,Ruaka Junction,-1.207096,36.785982,2,106 116
0101RMY,Rumenye,-1.19961,36.75794,2,107 114R
0101ROK,Rosslyn Road/Karura Community Chapel,-1.2165,36.799307,5,106 107 114R 116 11B
0101ROR,Rosslyn Road/Riviera,-1.217251,36.800423,5,106 107 114R 116 11B
0101RSH,Roslyn Heights,-1.223669,36.782832,1,108
0101RUA,Marurui,-1.210806,36.875181,1,107D
0101RUD,Runda Road,-1.215523,36.815038,1,107D
0101SDA,SDA Church,-1.223143,36.781961,1,108
0101SHR,Shakers/Rosslyn Gate,-1.21115,36.79024,5,106 107 114R 116 11B
0101SHT,Sacred Heart,-1.186283,36.767421,2,106 116
0101SLT,Slaughter,-1.20523,36.77754,2,107 114R
0101STP,Stima Plaza,-1.27043,36.82048,6,106 107 114R 116 11A 11B
0101TIG,Tigoni,-1.126739,36.671944,1,116
0101VRY,Victory,-1.181719,36.762391,2,106 116
0101WBR,Wambugu Road,-1.26799,36.82127,6,106 107 114R 116 11A 11B
0101WIA,Kwa Kuria,-1.2184,36.774652,1,108
0101WID,Windsor Advice,-1.215566,36.850327,1,107D
0101YSA,Nyari West,-1.224194,36.783745,1,108
0101ZAK,Zakawa,-1.179181,36.760914,2,106 116
0102KHJ,Koja,-1.281428,36.822532,22,106 6 23W 25 44G 44Z 45K 25A 11C 46B 115 118 119 119A
0103MSQ,Kwa Mosque/Highridge Mwisho,-1.25687,36.81077,1,11A
0110AAN,Oilibya/2nd Parklands Avenue,-1.2642,36.824691,1,106
0110ACG,Gachie,-1.181386,36.727555,1,114R
0110AEA,Shell Banana,-1.175848,36.75953,1,106
0110AGK,Aga Khan Academy,-1.266405,36.823195,6,106 107 114R 116 11A 11B
0110AIG,Gacharaini,-1.201715,36.764744,1,107
0110AOA,Mwambao,-1.256713,36.82633,1,114R
0110AOH,Mama Shop,-1.151753,36.931196,1,107D
0110APS,Aga Khan Hospital Stage,-1.26198,36.8227,1,11A
0110APT,Aga Khan Hospital Stage 2,-1.26277,36.82467,1,11A
0110ASP,Stima Plaza,-1.270037,36.820555,2,107 11A
0110AST,Ambassadors Stage,-1.19864,36.75634,2,107 114R
0110AUK,Karura,-1.247249,36.815776,1,114R
0110BAA,Banana Terminus,-1.174235,36.758765,2,106 116
0110BDO,Boda,-1.210381,36.789584,1,11B
0110BLV,6th Parklands Avenue/Regal House/Kobil,-1.257905,36.826896,1,11B
0110BNI,Kobil banana,-1.174564,36.758993,1,106
0110BUK,Kabuku Junction Stage,-1.150767,36.668272,1,114R
0110CEJ,Gacharage Junction,-1.20033,36.76062,1,107
0110COH,Gacharage Junction - Gachiraini Stage,-1.200471,36.760595,1,114R
0110CUT,Karura Community Chapel,-1.215756,36.797816,1,107
0110DAS,Ridgeways Girls,-1.214993,36.864388,1,107D
0110FRM,Muguku Farm,-1.17646,36.718384,1,114R
0110FSA,Karura Forest/Belgian Embassy,-1.248371,36.816591,1,11B
0110GAC,Gacharage,-1.192978,36.748079,1,114R
0110GTH,Gathanga Stage/Kiambea,-1.198999,36.78444,2,106 116
0110HHH,JamhurI High,-1.272161,36.822256,1,106
0110HUN,5th parklands avenue,-1.260939,36.82585,1,106
0110IDR,City park drive,-1.257162,36.826563,1,106
0110ILU,Limuru Terminus,-1.108076,36.643393,1,116
0110IRT,Ngara,-1.27419,36.823659,9,106 107 114R 116 11A 11B 29/30
0110ISR,Ruiru Prisons,-1.151871,36.929525,1,107D
0110KAU,Kianjogu Stage,-1.180979,36.727015,1,114R
0110KGQ,Highridge/Kwa Mosque/Mwisho,-1.256852,36.810736,1,11A
0110KKB,Garage,-1.222414,36.780964,1,108
0110KRS,Karura Stage,-1.19437,36.73198,1,107
0110KSL,Nish Raaj Estate/Kusi Lane,-1.25864,36.81485,1,11A
0110LAR,Rosslyn Riviera,-1.215369,36.796681,1,114R
0110LCM,Decimal,-1.203015,36.769993,1,114R
0110LHL,Full Gospel Church,-1.151018,36.937462,1,107D
0110LIG,Kobil Gigiri,-1.239216,36.811253,1,11B
0110LJA,Joyland,-1.204861,36.77657,1,114R
0110MKT,Makutano,-1.159421,36.74364,1,116
0110MTS,Muthaiga Shopping Centre,-1.250537,36.819842,5,106 107 114R 116 11B
0110MYA,City Park Market,-1.261573,36.825761,1,11B
0110NGP,Ndenderu Redeemed Gospel,-1.19222,36.74442,1,107
0110NKT,Nakumatt Stage,-1.26018,36.81855,1,11A
0110NSG,Ndenderu Stage,-1.1926,36.74685,2,107 114R
