route_name,route_long,headsign,direction,start_lat,start_lon,end_lat,end_lon
6,Koja-Pangani Flyover-Guru Nanak-Pangani Girls High School-Mlango-Eastleigh,Eastleigh,1,-1.281447,36.822653,-1.272204,36.848953
23W,Nation Building-Museum Hill-Graffins College-Westlands,Koja,0,-1.262221,36.803608,-1.281439,36.82233
23W,Nation Building-Museum Hill-Graffins College-Westlands,Westlands,1,-1.281549,36.822508,-1.262221,36.803608
25,Odeon-Pangani-Alssops-Baba Dogo,Odeon,0,-1.244127,36.887466,-1.282954,36.824337
25,Odeon-Pangani-Alssops-Baba Dogo,Baba Dogo,1,-1.282552,36.82379,-1.244143,36.887385
27,Kariobangi North - Thika road - Town,OTC,1,-1.253031,36.884794,-1.284381,36.831231
39,"Bypass Ruiru, City Cabanas",City Cabanas,0,-1.165012,36.95835,-1.327157,36.89489
39,"Bypass Ruiru, City Cabanas",Bypass Ruiru,1,-1.329979,36.890363,-1.164508,36.95686
42,Allsops-Rounda-Dandora,Allsops,0,-1.244969,36.908457,-1.245076,36.867274
42,Allsops-Rounda-Dandora,Dandora,1,-1.245151,36.867789,-1.245017,36.908424
43,Bus Station-Pangani-Allsops-Ngumba,Bus Station,0,-1.233753,36.884514,-1.286935,36.829348
43,Bus Station-Pangani-Allsops-Ngumba,Ngumba,1,-1.286978,36.829267,-1.233753,36.884514
44G,Odeon-Pangani-Roysambu-Githurai-KU,Odeon,0,-1.181991,36.937795,-1.282847,36.824804
44G,Odeon-Pangani-Roysambu-Githurai-KU,KU,1,-1.28295,36.824917,-1.182232,36.936915
44Z,Odeon-Pangani-Roysambu-Zimmerman-KU,Odeon,0,-1.18183,36.937923,-1.282901,36.824772
44Z,Odeon-Pangani-Roysambu-Zimmerman-KU,KU,1,-1.282884,36.824793,-1.182173,36.936958
44K,Roysambu-Githurai-KU,Roysambu,0,-1.181931,36.937779,-1.217342,36.894284
44K,Roysambu-Githurai-KU,KU,1,-1.216848,36.894123,-1.182227,36.936931
45K,Odeon-Pangani-Roysabu-Githurai-KU,Odeon,0,-1.181991,36.937843,-1.282611,36.824466
45K,Odeon-Pangani-Roysabu-Githurai-KU,KU,1,-1.282589,36.824412,-1.181754,36.937371
45G,Munyu Road-Pangani-Roysabu-Githurai,Tusker,0,-1.204344,36.916884,-1.285443,36.828505
45G,Munyu Road-Pangani-Roysabu-Githurai,Githurai,1,-1.285228,36.828903,-1.204333,36.916932
45P,Githurai-Proggie,Githurai,0,-1.209083,36.928226,-1.205374,36.918574
45P,Githurai-Proggie,Proggie,1,-1.205422,36.918569,-1.209083,36.928226
49,Odeon-Pangani-Roysambu-Kasarani-Sunton,Odeon,0,-1.229522,36.920818,-1.282788,36.824681
49,Odeon-Pangani-Roysambu-Kasarani-Sunton,Sunton,1,-1.282842,36.824943,-1.229482,36.920806
53,Roasters-Thome-Maruirui,Roasters,0,-1.211103,36.874307,-1.233435,36.872858
53,Roasters-Thome-Maruirui,Marurui,1,-1.233682,36.872638,-1.211055,36.874312
27,Kariobangi North - Thika road - Town,Kariobangi,0,-1.284365,36.831225,-1.253058,36.884859
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Kaka,0,-1.168976,36.82629,-1.286125,36.830898
100,O.T.C-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu,Kiambu,1,-1.286071,36.830919,-1.168966,36.826301
120,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Githunguri,Githunguri,0,-1.286001,36.830699,-1.05638,36.778932
120,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Githunguri,Kaka,1,-1.05638,36.778932,-1.286098,36.830598
121,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Ndumberi,Kaka,0,-1.151559,36.805576,-1.285969,36.830624
121,Kaka-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu-Ndumberi,Ndumberi,1,-1.285969,36.830657,-1.151559,36.805576
145,Munyu Road-Pangani-Roysambu-Githurai-KU-Ruiru,Tusker,0,-1.147492,36.959226,-1.285341,36.828648
145,Munyu Road-Pangani-Roysambu-Githurai-KU-Ruiru,Ruiru,1,-1.285213,36.828892,-1.147621,36.959322
17B,Bus Station-Pangani-Roysambu-Kasarani-Mwiki,Bus Station,0,-1.233992,36.930641,-1.287181,36.830276
17B,Bus Station-Pangani-Roysambu-Kasarani-Mwiki,Mwiki,1,-1.286457,36.829852,-1.233923,36.930521
17B_2,Roysambu-Sunton-Kasarani-Mwiki,Roysambu,0,-1.23394,36.93051,-1.220405,36.892422
17B_2,Roysambu-Sunton-Kasarani-Mwiki,Mwiki,1,-1.220518,36.892396,-1.233945,36.930526
237,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,Tusker,0,-1.035397,37.076433,-1.284149,36.827805
237,Munyu Road-Pangani-Roysabu-Githurai-KU-Ruiru-Juja-Thika,Thika,1,-1.284149,36.827805,-1.035408,37.076443
25A,Odeon-Pangani-Alssops-Baba Dogo-Lucky Summer,Odeon,0,-1.239763,36.897511,-1.282686,36.824541
25A,Odeon-Pangani-Alssops-Baba Dogo-Lucky Summer,Lucky Summer,1,-1.28267,36.824563,-1.239776,36.897508
100A,Ngara-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu Hospital,Ngara,0,-1.17037,36.830528,-1.278357,36.830243
100A,Ngara-Pangani-Muthaiga Roundabout-Kiambu Road-Kiambu Institute-Kiambu Hospital,Kiambu Hospital,1,-1.278362,36.830302,-1.168746,36.826043
2030,Allsops-Rounda,Allsops,0,-1.26228,36.878684,-1.245232,36.867945
2030,Allsops-Rounda,Rounda,1,-1.245253,36.867864,-1.262108,36.878797
29/30,Ngara-Pangani-Alssops-Drive in-Mathare,Ngara,0,-1.252152,36.86729,-1.27413,36.823887
29/30,Ngara-Pangani-Alssops-Drive in-Mathare,Mathare,1,-1.274124,36.823951,-1.252179,36.867306
3N,Gikomba-Kariokor-Ngara,Ngara,0,-1.284038,36.840554,-1.275761,36.82474
3N,Gikomba-Kariokor-Ngara,Gikomba,1,-1.275806,36.82473,-1.283973,36.840543
7,Town-Kariokor DC-Gikomba,Town,0,-1.284043,36.840559,-1.286312,36.829444
7,Town-Kariokor DC-Gikomba,Gikomba,1,-1.286318,36.829412,-1.284043,36.840559
14,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,OTC,0,-1.255301,36.878577,-1.284061,36.831181
14,Ronald Ngala-Juja Road-Eastleigh-Huruma-Kariobangi,Kariobangi,1,-1.284038,36.831161,-1.255285,36.878577
28,Gikomba-Eastleigh-Huruma-Kariobangi,Gikomba,0,-1.2554,36.878468,-1.284126,36.840649
28,Gikomba-Eastleigh-Huruma-Kariobangi,Kariobangi,1,-1.284126,36.840649,-1.255571,36.878086
32D,OTC-Kariokor-Mlango-Rounda-Dandora,OTC,0,-1.245049,36.90843,-1.284837,36.830962
32D,OTC-Kariokor-Mlango-Rounda-Dandora,Dandora,1,-1.284746,36.831075,-1.24514,36.908408
41,Gikomba-Rounda-Dandora,Gikomba,0,-1.245132,36.908428,-1.284065,36.840624
41,Gikomba-Rounda-Dandora,Dandora,1,-1.284075,36.840591,-1.244985,36.908446
46H,Ronald Ngala-Juja Road-Eastleigh-Huruma,OTC,0,-1.261995,36.874022,-1.285927,36.827461
46H,Ronald Ngala-Juja Road-Eastleigh-Huruma,Huruma,1,-1.28591,36.82747,-1.262033,36.874012
11C,Odeon-Pangani Flyover-Pangani Girls High School-Mlango-Pangani Terminus,Odeon,0,-1.265061,36.838593,-1.28253,36.82511
11C,Odeon-Pangani Flyover-Pangani Girls High School-Mlango-Pangani Terminus,Pangani Terminus,1,-1.282459,36.825275,-1.265059,36.838526
17Aky,EastLeigh-Rounda-Umoja 2-Kayole,Eastleigh,0,-1.262215,36.919577,-1.272097,36.850505
17Aky,EastLeigh-Rounda-Umoja 2-Kayole,Kayole,1,-1.272258,36.850483,-1.26221,36.919561
18C,Eastleigh-Rounda-Dandora-Kayole,Kayole,0,-1.272263,36.850478,-1.269034,36.913609
18C,Eastleigh-Rounda-Dandora-Kayole,Eastleigh,1,-1.269016,36.913631,-1.272182,36.850634
46B,Ronald Ngala-Juja Road-Eastleigh-Rounda,Tusker,0,-1.262366,36.878759,-1.285475,36.828275
46B,Ronald Ngala-Juja Road-Eastleigh-Rounda,Rounda,1,-1.285513,36.82828,-1.262366,36.878765
16/62,Bus Station-Rounda-Dandora-Kayole,Bus station,0,-1.268969,36.913596,-1.28641,36.829723
16/62,Bus Station-Rounda-Dandora-Kayole,Kayole,1,-1.286404,36.829712,-1.269001,36.913623
3738,Rounda-Saika-Ruai,Rounder,0,-1.269779,36.994658,-1.262392,36.878507
3738,Rounda-Saika-Ruai,Ruai,1,-1.262076,36.879344,-1.271228,36.996878
6E,Church Army-Biafra-Joster,Church Army,0,-1.282809,36.851095,-1.294568,36.853144
6E,Church Army-Biafra-Joster,Joster,1,-1.294708,36.853209,-1.282825,36.851047
10,Muthurwa-Makadara-Maringo,Muthurwa,0,-1.290621,36.873753,-1.287997,36.83387
10,Muthurwa-Makadara-Maringo,Maringo,1,-1.288002,36.833875,-1.290572,36.87377
20,Mama Lucy Hospital-Kayole-Njiru-Mwiki,Mama Lucy,0,-1.235916,36.934875,-1.275035,36.898525
20,Mama Lucy Hospital-Kayole-Njiru-Mwiki,Mwiki,1,-1.275035,36.898525,-1.235916,36.934875
23KS,Gill House-Jogoo Road-Shauri Moyo-Jerusalem-Buruburu-Kariobangi South,Gill House,0,-1.262564,36.887042,-1.286361,36.826907
23KS,Gill House-Jogoo Road-Shauri Moyo-Jerusalem-Buruburu-Kariobangi South,Kariobangi South,1,-1.28665,36.827046,-1.262575,36.88702
26,Makadara-Harambee-Outering-Kariobangi,Makadara,0,-1.257543,36.87921,-1.296124,36.862172
26,Makadara-Harambee-Outering-Kariobangi,Kariobangi,1,-1.296446,36.862623,-1.257591,36.878668
26S,Aquinas-Jerusalem-Outering-Kariobangi,Makadara,0,-1.257602,36.879151,-1.295105,36.867076
26S,Aquinas-Jerusalem-Outering-Kariobangi,Kariobangi,1,-1.292932,36.862666,-1.256658,36.878663
33DP,Muthurwa-Donholm-Pipeline,Muthurwa,0,-1.323552,36.899557,-1.288126,36.833907
33DP,Muthurwa-Donholm-Pipeline,Pipeline,1,-1.288018,36.833838,-1.323617,36.899616
33DC,Donholm-Rounda-Carbanas,Donholm,0,-1.335804,36.892294,-1.298881,36.886774
33DC,Donholm-Rounda-Carbanas,Carbanas,1,-1.298441,36.887187,-1.335869,36.893383
33GTB,Accra Road-Jogoo Road-Donholm-Fedha-Gate B,Commercial,0,-1.308205,36.903221,-1.284131,36.826233
33GTB,Accra Road-Jogoo Road-Donholm-Fedha-Gate B,Gate B,1,-1.283936,36.826429,-1.308214,36.903286
33C,Commercial-Jogoo Road-Pipeline-Cabanas,Commercial,0,-1.335847,36.892213,-1.284145,36.826252
33C,Commercial-Jogoo Road-Pipeline-Cabanas,Cabanas,1,-1.283943,36.826431,-1.335284,36.892557
34J,Ambassadeur-Donholm-Rounda-JKIA,Ambassadeur,0,-1.329614,36.924829,-1.285685,36.824793
34J,Ambassadeur-Donholm-Rounda-JKIA,JKIA,1,-1.285733,36.824723,-1.329625,36.924802
36,City Stadium-Buruburu-Kwa Mbao-Dandora,City Stadium,0,-1.24506,36.908473,-1.292244,36.843018
36,City Stadium-Buruburu-Kwa Mbao-Dandora,Dandora,1,-1.292244,36.843018,-1.24506,36.908457
58,Ambassadeur-Jogoo Road-Buruburu,Ambassadeur,0,-1.277606,36.877316,-1.284403,36.82607
58,Ambassadeur-Jogoo Road-Buruburu,Buruburu,1,-1.284676,36.826164,-1.277579,36.877322
17A,Rounda-Umoja 2-Kayole,Rounda,0,-1.262956,36.879323,-1.262328,36.919293
17A,Rounda-Umoja 2-Kayole,Kayole,1,-1.261953,36.919711,-1.262999,36.878958
19Cdc,Ambassadeur-Jogoo Road-Donholm-Caltex-Komarocks,Town,0,-1.266534,36.915972,-1.28591,36.827652
19Cdc,Ambassadeur-Jogoo Road-Donholm-Caltex-Komarocks,Komarocks,1,-1.285904,36.827625,-1.266512,36.916021
19C2,Donholm-Caltex-Komarocks,Donholm,0,-1.266668,36.915983,-1.296639,36.885883
19C2,Donholm-Caltex-Komarocks,Komarocks,1,-1.296628,36.885953,-1.266512,36.915951
34B,Ambassadeur-Donholm-Jacaranda,Ambassadeur,0,-1.287643,36.904702,-1.285669,36.82489
34B,Ambassadeur-Donholm-Jacaranda,Jacaranda,1,-1.286187,36.826923,-1.28768,36.904739
69,Muthurwa-Hillocks-GM,Muthurwa,0,-1.328391,36.870262,-1.287981,36.833875
69,Muthurwa-Hillocks-GM,General Motors,1,-1.288013,36.833875,-1.328396,36.870267
405,City Stadium-Nyayo Stadium,City Stadium,0,-1.304176,36.827782,-1.293365,36.840767
405,City Stadium-Nyayo Stadium,Nyayo Stadium,1,-1.293448,36.840927,-1.304181,36.82777
1960,OTC-Donholm-Kayole,Kamukunji,0,-1.262215,36.919577,-1.284376,36.832786
1960,OTC-Donholm-Kayole,Kayole,1,-1.284365,36.832797,-1.262221,36.919572
1961K,Landhies Road-Jogoo Road-Jacaranda-Kayole,OTC,0,-1.262103,36.919443,-1.284381,36.83284
1961K,Landhies Road-Jogoo Road-Jacaranda-Kayole,Kayole,1,-1.284365,36.832829,-1.262038,36.919529
1961Kd,Caltex Donholm-Jacaranda-Kayole,Donholm,0,-1.269892,36.920065,-1.300968,36.888217
1961Kd,Caltex Donholm-Jacaranda-Kayole,Kayole,1,-1.300839,36.888077,-1.269768,36.920006
35/60,Town-Donholm-Umoja,Tusker,0,-1.283775,36.887096,-1.285488,36.82835
35/60,Town-Donholm-Umoja,Umoja,1,-1.285518,36.828275,-1.2837,36.887133
3560_2,Donholm-Mutindwa-Umoja 2,Donholm,0,-1.279247,36.898162,-1.296945,36.886886
3560_2,Donholm-Mutindwa-Umoja 2,Umoja 2,1,-1.296537,36.886066,-1.279263,36.898146
39SK,Ronald Ngala-Jogoo Road-Kangundo Road-Saika-Kayole Junction,Tusker,0,-1.259603,36.912491,-1.285526,36.828274
39SK,Ronald Ngala-Jogoo Road-Kangundo Road-Saika-Kayole Junction,Kayole Junction,1,-1.285508,36.82828,-1.259512,36.912496
38/39,Town-Donholm-Njiru-Ruai,Muthurwa,0,-1.271206,36.996873,-1.288115,36.833897
38/39,Town-Donholm-Njiru-Ruai,Ruai,1,-1.288115,36.833902,-1.271233,36.996868
70/71,Muthurwa-Likoni-Sinai-Lunga Lunga,Muthurwa,0,-1.300212,36.885749,-1.287981,36.833875
70/71,Muthurwa-Likoni-Sinai-Lunga Lunga,Lunga Lunga,1,-1.287997,36.833886,-1.300136,36.885878
11,Bus Station-Industrial Area-South B-Hazina,Bus Station,0,-1.315629,36.848472,-1.287203,36.828908
11,Bus Station-Industrial Area-South B-Hazina,Hazina,1,-1.287219,36.828897,-1.316037,36.848375
11_2,Town-Industrial Area-Mater-Railways Training Institute-Balozi-Hazina,Bus Station,0,-1.320806,36.849282,-1.287219,36.828913
11_2,Town-Industrial Area-Mater-Railways Training Institute-Balozi-Hazina,Hazina,1,-1.287219,36.828908,-1.320865,36.849427
15,Bus Station-Nyayo Stadium-Wilson-Langata,Bus Station,0,-1.321809,36.774486,-1.287176,36.829026
15,Bus Station-Nyayo Stadium-Wilson-Langata,Langata,1,-1.287079,36.829396,-1.321824,36.774303
16,Bus Station-Nyayo Stadium-T Mall-Highrise,Bus Station,0,-1.31454,36.807954,-1.287155,36.828929
16,Bus Station-Nyayo Stadium-T Mall-Highrise,Highrise,1,-1.287214,36.828827,-1.314669,36.808131
24,Ambassadeur-Nyayo Stadium-Bomas-Hardy-Karen,Karen,0,-1.286108,36.826038,-1.323187,36.708047
24,Ambassadeur-Nyayo Stadium-Bomas-Hardy-Karen,Ambassadeur,1,-1.322023,36.707586,-1.286082,36.825952
24BK,Bomas-Karen Hospital-Karen,Bomas,0,-1.322064,36.707893,-1.342349,36.764325
24BK,Bomas-Karen Hospital-Karen,Karen,1,-1.342537,36.764325,-1.322064,36.707893
33IMR,Commercial-Belleview-Imara Daima,Commercial,0,-1.325178,36.880819,-1.284178,36.826206
33IMR,Commercial-Belleview-Imara Daima,Imara Daima,1,-1.284285,36.826258,-1.325119,36.880819
33TP,Commercial-Mombasa Road-Taj Mall-Pipeline,Commercial,0,-1.323643,36.899632,-1.284145,36.826285
33TP,Commercial-Mombasa Road-Taj Mall-Pipeline,Pipeline,1,-1.283943,36.826431,-1.316535,36.895174
33J,Cabanas-Utawala-Githunguri,Cabanas,0,-1.286511,36.982464,-1.335853,36.893211
33J,Cabanas-Utawala-Githunguri,Githunguri,1,-1.33581,36.893173,-1.286543,36.98247
33H,Cabanas-Utawala-Bypass,Cabanas,0,-1.264171,36.983013,-1.335665,36.893136
33H,Cabanas-Utawala-Bypass,Bypass,1,-1.33581,36.892294,-1.264049,36.982613
33UTW,Utawala-Ambassadeur,Ambassadeur,0,-1.284102,36.988869,-1.285411,36.825802
33UTW,Utawala-Ambassadeur,Utawala,1,-1.285315,36.825598,-1.284049,36.988891
33MKR,Bus Station-Mombasa Road-Imara Daima-St.Bakhita,Commercial,0,-1.32472,36.888931,-1.287235,36.828908
33MKR,Bus Station-Mombasa Road-Imara Daima-St.Bakhita,St. Bakhita,1,-1.287235,36.828886,-1.324711,36.889
110,Railways-Mombasa Road-Mlolongo-Kitengela,Railways Uchumi,0,-1.477141,36.957879,-1.288798,36.828712
110,Railways-Mombasa Road-Mlolongo-Kitengela,Kitengela,1,-1.289201,36.828304,-1.477248,36.958201
110AK,Athi River-Makadara-Kitengela,Devki Athiriver,0,-1.477189,36.958031,-1.444069,36.989384
110AK,Athi River-Makadara-Kitengela,Kitengela,1,-1.444176,36.989465,-1.477189,36.958031
110ATH,Railways-Mombasa Road-Devki-Makadara,Railways Uchumi,0,-1.457303,36.974557,-1.289188,36.828269
110ATH,Railways-Mombasa Road-Devki-Makadara,Makadara,1,-1.289091,36.828318,-1.457499,36.974342
125,Railways-Langata Road-Bomas-Ongata Rongai,Railways,0,-1.396543,36.74966,-1.291033,36.828285
125,Railways-Langata Road-Bomas-Ongata Rongai,Ongata Rongai,1,-1.291038,36.828291,-1.396546,36.749788
126,Railways-Langata Road-Ongata Rongai-Kiserian,Railways,0,-1.429671,36.687119,-1.291054,36.828296
126,Railways-Langata Road-Ongata Rongai-Kiserian,Kiserian,1,-1.29106,36.828318,-1.429083,36.686887
126RK,Ongata Rongai-Nkoroi-Kiserian,Ongata Rongai,0,-1.42951,36.685807,-1.397012,36.759878
126RK,Ongata Rongai-Nkoroi-Kiserian,Kiserian,1,-1.397034,36.754192,-1.429553,36.685774
12C,Bus Station-Red Cross-Mugoya,Bus Station,0,-1.321511,36.828972,-1.28719,36.828884
12C,Bus Station-Red Cross-Mugoya,Mugoya,1,-1.28719,36.828884,-1.322066,36.828817
12D,Bus Station-Red Cross-KPA-College Of Insurance-Amboseli,Bus Station,0,-1.326948,36.842367,-1.287294,36.829074
12D,Bus Station-Red Cross-KPA-College Of Insurance-Amboseli,Amboseli,1,-1.287176,36.828913,-1.326969,36.842383
145B,Bypass-Ruiru Ndani-Ruiru,Bypass,0,-1.147529,36.959231,-1.264138,36.983035
145B,Bypass-Ruiru Ndani-Ruiru,Ruiru,1,-1.264082,36.983194,-1.14754,36.959236
14A,Bus Station-Nairobi West-Madaraka-Strathmore,Bus Station,0,-1.308644,36.812444,-1.287179,36.828907
14A,Bus Station-Nairobi West-Madaraka-Strathmore,Strathmore,1,-1.287321,36.829026,-1.308693,36.812348
14B,Bus Station-Nairobi West-TMall,Bus Station,0,-1.312939,36.816689,-1.287179,36.828907
14B,Bus Station-Nairobi West-TMall,TMall,1,-1.287315,36.829079,-1.312973,36.816688
33FED,Commercial-Cabanas-Tuskys-Village-Gate A-Posta,Commercial,0,-1.308319,36.911465,-1.284129,36.826279
33FED,Commercial-Cabanas-Tuskys-Village-Gate A-Posta,Posta,1,-1.283909,36.826445,-1.308315,36.911457
33B,Commercial-Cabanas-Baraka,Commercial,0,-1.298102,36.912701,-1.284255,36.826157
33B,Commercial-Cabanas-Baraka,Baraka,1,-1.284156,36.826258,-1.298125,36.912711
46K,Kencom-Valley Road-Yaya Centre-Kawangware,Kencom,0,-1.283914,36.742599,-1.285722,36.824697
46K,Kencom-Valley Road-Yaya Centre-Kawangware,Kawangware,1,-1.285642,36.824799,-1.283915,36.742599
46Y,Kencom-Valley Road-Hurlinghum-Yaya Centre,Kencom,0,-1.292314,36.787628,-1.285722,36.824707
46Y,Kencom-Valley Road-Hurlinghum-Yaya Centre,Yaya Centre,1,-1.285669,36.824793,-1.292314,36.787628
56,Town-Yaya-Congo-Kanungaga,Railways,0,-1.278534,36.750936,-1.290759,36.828291
56,Town-Yaya-Congo-Kanungaga,Kanungaga,1,-1.290475,36.828049,-1.278279,36.750816
7C,Kencom-Community-Equity Center-Kenyatta National Hospital,Kencom,0,-1.300898,36.808437,-1.28569,36.82475
7C,Kencom-Community-Equity Center-Kenyatta National Hospital,Kenyatta National Hospital,1,-1.285653,36.824809,-1.30093,36.808459
1,Karen-Karinde-Dagoretti Market,Karen,0,-1.28768,36.686311,-1.321208,36.706395
1,Karen-Karinde-Dagoretti Market,Dagoretti Market,1,-1.320612,36.705719,-1.287702,36.686305
2,Railways-Ngong Road-Kawangware-Dagoretti Market,Railways,0,-1.286543,36.686718,-1.290534,36.828017
2,Railways-Ngong Road-Kawangware-Dagoretti Market,Dagoretti Market,1,-1.290475,36.827985,-1.286334,36.686878
3U/3,Dagoretti Corner-Naivasha Road-Uthiru,Dagoretti Corner,0,-1.261386,36.716919,-1.298436,36.759878
3U/3,Dagoretti Corner-Naivasha Road-Uthiru,Uthiru,1,-1.298355,36.759428,-1.261386,36.716919
5,Town-Kenyatta-Adams-Jamhuri,Kencom,0,-1.303988,36.769148,-1.285701,36.824702
5,Town-Kenyatta-Adams-Jamhuri,Jamhuri,1,-1.285663,36.824836,-1.303967,36.769642
8,Railways-Ngong Road-Kibera,Railways,0,-1.311058,36.775784,-1.290497,36.828012
8,Railways-Ngong Road-Kibera,Kibera,1,-1.290443,36.827974,-1.311058,36.775784
32A,Kencom-Community-KNH-Ngong Road-Ayani,Kencom,0,-1.307902,36.772747,-1.285701,36.824756
32A,Kencom-Community-KNH-Ngong Road-Ayani,Ayani,1,-1.285669,36.824825,-1.307902,36.772747
33NG,Racecourse Road-Ngong Road-KNH-Ngumo,Racecourse Road,0,-1.309848,36.798908,-1.286017,36.829702
33NG,Racecourse Road-Ngong Road-KNH-Ngumo,Ngumo,1,-1.287144,36.830324,-1.309848,36.798908
33SB,Ngumo-Highrise-Nairobi West-Couth C-South B,Ngumo,0,-1.311586,36.83535,-1.307611,36.802895
33SB,Ngumo-Highrise-Nairobi West-Couth C-South B,South B,1,-1.307555,36.802896,-1.311586,36.83535
34L,Kenyatta National Hospital-Mbagathi Road-Wilson Airport-Langata,KNH,0,-1.327248,36.788991,-1.297529,36.804671
34L,Kenyatta National Hospital-Mbagathi Road-Wilson Airport-Langata,Langata,1,-1.297588,36.804693,-1.32728,36.789013
48,Yaya-Kasuku-Westlands,Yaya,0,-1.26567,36.801077,-1.291859,36.787162
48,Yaya-Kasuku-Westlands,Westlands,0,-1.29158,36.787049,-1.265633,36.800884
4W,Railways-Ngong Road-Wanyee-Kaberia,Kencom/Ambassadeur,0,-1.290502,36.729001,-1.28562,36.82489
4W,Railways-Ngong Road-Wanyee-Kaberia,Kaberia,1,-1.285604,36.824815,-1.290518,36.728985
102,Railways-NgongRoad-Kawangware-Kikuyu,Railways,0,-1.246551,36.665035,-1.290518,36.828033
102,Railways-NgongRoad-Kawangware-Kikuyu,Kikuyu,1,-1.290491,36.828028,-1.246535,36.664982
103,Dagoretti Market-Uthiru-Kinoo-Wangige,Dagoretti Corner,0,-1.219091,36.71243,-1.298447,36.7599
103,Dagoretti Market-Uthiru-Kinoo-Wangige,Wangige,1,-1.298404,36.759363,-1.219091,36.712425
111,Railways-Ngong Road-Karen-Ngong,Railways,0,-1.360425,36.656025,-1.290443,36.827964
111,Railways-Ngong Road-Karen-Ngong,Ngong,1,-1.29048,36.827999,-1.3604,36.656055
126N,Ngong-Kiserian,Ngong,0,-1.428179,36.686615,-1.360488,36.656006
126N,Ngong-Kiserian,Kiserian,1,-1.36084,36.655941,-1.428235,36.686634
129,Kikuyu-Magu-Kingeero-Wangige,Kikuyu,0,-1.219134,36.712387,-1.246685,36.665068
129,Kikuyu-Magu-Kingeero-Wangige,Wangige,1,-1.246664,36.665062,-1.219123,36.712425
24C,Kencom-Valley Road-Ngong Road-Karen-Hardy,Kencom,0,-1.325279,36.709785,-1.28612,36.825939
24C,Kencom-Valley Road-Ngong Road-Karen-Hardy,Hardy,1,-1.28612,36.825939,-1.323509,36.708294
046P,"Ambassadeur,Kabete,Kawangware",Kawangware,1,-1.28561,36.825845,-1.286146,36.740894
046P,"Ambassadeur,Kabete,Kawangware",Ambassadeur,0,-1.285186,36.741623,-1.285284,36.825799
23KG,Odeon-Chiromo-Westlands-Kangemi,Odeon,0,-1.26498,36.749535,-1.282595,36.825002
23KG,Odeon-Chiromo-Westlands-Kangemi,Kangemi,1,-1.282745,36.825072,-1.264967,36.749525
30,Odeon-Westlands-Kangemi-Uthiru,Odeon,0,-1.256943,36.723705,-1.282595,36.825008
30,Odeon-Westlands-Kangemi-Uthiru,Uthiru,1,-1.282584,36.825002,-1.256943,36.723705
